Date,Date,Financial Result,Financial Result,Financial Result,Financial Result,Financial Ratio,Financial Ratio,Per Share Item,Per Share Item,Per Share Item,Performance,Performance,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0
Ann. Date,Quarter,Revenue,PBT,NP,NP to SH,NP Margin,ROE,EPS,DPS,NAPS,QoQ,YoY,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1
Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024
Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018,Financial Year: 31-Dec-2018
25-Feb-2019,31-Dec-2018,1166838,83728,52895,51556,4.53%,1.81%,7.90,2.00,4.36,56.88%,817.15%,,,,,,,,,,,,,,,,,,,,,,,,,
27-Nov-2018,30-Sep-2018,1568434,56592,37687,32863,2.40%,1.17%,5.04,0.00,4.30,165.82%,242.34%,,,,,,,,,,,,,,,,,,,,,,,,,
14-Aug-2018,30-Jun-2018,1088316,24805,9868,12363,0.91%,0.44%,1.89,2.00,4.28,190.76%,153.75%,,,,,,,,,,,,,,,,,,,,,,,,,
18-May-2018,31-Mar-2018,1034618,13461,2087,4252,0.20%,0.15%,0.65,0.00,4.30,159.15%,112.04%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017,Financial Year: 31-Dec-2017
27-Feb-2018,31-Dec-2017,1075956,12591,-6232,-7189,-0.58%,-0.26%,-1.10,1.00,4.28,68.86%,-631.34%,,,,,,,,,,,,,,,,,,,,,,,,,
28-Nov-2017,30-Sep-2017,1073262,-27146,-26700,-23087,-2.49%,-0.83%,-3.54,0.00,4.27,-0.38%,-412.93%,,,,,,,,,,,,,,,,,,,,,,,,,
25-Aug-2017,30-Jun-2017,1196358,-22713,-25997,-22999,-2.17%,-0.82%,-3.52,1.00,4.32,34.89%,-57.67%,,,,,,,,,,,,,,,,,,,,,,,,,
04-May-2017,31-Mar-2017,995652,-35543,-37460,-35322,-3.76%,-1.24%,-5.41,0.00,4.36,"-2,710.64%",5.07%,,,,,,,,,,,,,,,,,,,,,,,,,
