Date,Date,Financial Result,Financial Result,Financial Result,Financial Result,Financial Ratio,Financial Ratio,Per Share Item,Per Share Item,Per Share Item,Performance,Performance,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0
Ann. Date,Quarter,Revenue,PBT,NP,NP to SH,NP Margin,ROE,EPS,DPS,NAPS,QoQ,YoY,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1
Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025,Financial Year: 30-Jun-2025
Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018,Financial Year: 30-Jun-2018
30-Aug-2018,30-Jun-2018,8575000,341000,177000,163000,2.06%,1.14%,2.40,6.00,2.11,20.74%,-71.45%,,,,,,,,,,,,,,,,,,,,,,,,,
25-May-2018,31-Mar-2018,8294000,210000,148000,135000,1.78%,0.95%,2.00,0.00,2.08,-55.74%,-80.49%,,,,,,,,,,,,,,,,,,,,,,,,,
22-Feb-2018,31-Dec-2017,8815000,138000,344000,305000,3.90%,2.10%,4.50,2.00,2.14,-76.82%,-53.29%,,,,,,,,,,,,,,,,,,,,,,,,,
16-Nov-2017,30-Sep-2017,8144000,376000,1394000,1316000,17.12%,3.41%,19.30,0.00,5.67,130.47%,152.11%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017,Financial Year: 30-Jun-2017
25-Aug-2017,30-Jun-2017,8200000,98000,625000,571000,7.62%,1.53%,8.40,17.00,5.49,-17.49%,-53.43%,,,,,,,,,,,,,,,,,,,,,,,,,
31-May-2017,31-Mar-2017,7867000,310000,768000,692000,9.76%,1.86%,10.20,0.00,5.48,5.97%,4.37%,,,,,,,,,,,,,,,,,,,,,,,,,
27-Feb-2017,31-Dec-2016,8086000,287000,709000,653000,8.77%,1.81%,9.80,6.00,5.44,25.10%,138.94%,,,,,,,,,,,,,,,,,,,,,,,,,
25-Nov-2016,30-Sep-2016,6934000,312000,579000,522000,8.35%,1.65%,8.20,0.00,5.00,-57.42%,61.61%,,,,,,,,,,,,,,,,,,,,,,,,,
