Date,Date,Financial Result,Financial Result,Financial Result,Financial Result,Financial Ratio,Financial Ratio,Per Share Item,Per Share Item,Per Share Item,Performance,Performance,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0
Ann. Date,Quarter,Revenue,PBT,NP,NP to SH,NP Margin,ROE,EPS,DPS,NAPS,QoQ,YoY,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1
Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024,Financial Year: 31-Dec-2024
30-May-2019,31-Mar-2019,3466699,328794,219315,127862,6.33%,1.91%,6.61,0.00,3.47,75.10%,"1,345.37%",,,,,,,,,,,,,,,,,,,,,,,,,
28-Feb-2019,31-Dec-2018,3171514,96701,53338,73022,1.68%,1.11%,3.78,0.00,3.40,739.48%,225.57%,,,,,,,,,,,,,,,,,,,,,,,,,
29-Nov-2018,30-Sep-2018,3184425,-49240,-76704,-11419,-2.41%,-0.18%,-0.59,0.00,3.37,82.85%,-101.55%,,,,,,,,,,,,,,,,,,,,,,,,,
28-Aug-2018,30-Jun-2018,2654411,-94399,-144758,-66599,-5.45%,-1.02%,-3.44,0.00,3.39,-548.67%,60.76%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018,Financial Year: 31-Mar-2018
31-May-2018,31-Mar-2018,3062011,-142641,-123323,-10267,-4.03%,-0.15%,-0.53,3.00,3.48,82.34%,96.88%,,,,,,,,,,,,,,,,,,,,,,,,,
28-Feb-2018,31-Dec-2017,3047426,-259890,-290947,-58152,-9.55%,-0.86%,-3.01,0.00,3.50,-107.90%,-116.53%,,,,,,,,,,,,,,,,,,,,,,,,,
30-Nov-2017,30-Sep-2017,3343628,890381,810925,736567,24.25%,10.76%,38.10,0.00,3.54,534.02%,337.88%,,,,,,,,,,,,,,,,,,,,,,,,,
25-Aug-2017,30-Jun-2017,3336612,-72720,-101349,-169707,-3.04%,-2.88%,-8.78,0.00,3.05,48.51%,-0.24%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017,Financial Year: 31-Mar-2017
