Date,Date,Financial Result,Financial Result,Financial Result,Financial Result,Financial Ratio,Financial Ratio,Per Share Item,Per Share Item,Per Share Item,Performance,Performance,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0
Ann. Date,Quarter,Revenue,PBT,NP,NP to SH,NP Margin,ROE,EPS,DPS,NAPS,QoQ,YoY,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1
Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025,Financial Year: 30-Apr-2025
Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019,Financial Year: 30-Apr-2019
12-Jun-2019,30-Apr-2019,538277,77608,60188,60057,11.18%,10.60%,5.18,10.50,0.4881,-25.87%,5.02%,,,,,,,,,,,,,,,,,,,,,,,,,
13-Mar-2019,31-Jan-2019,778130,102821,81622,81013,10.49%,14.57%,6.99,4.50,0.479,9.60%,100.17%,,,,,,,,,,,,,,,,,,,,,,,,,
12-Dec-2018,31-Oct-2018,690318,94584,74619,73917,10.81%,14.33%,6.36,3.75,0.4442,47.02%,232.94%,,,,,,,,,,,,,,,,,,,,,,,,,
13-Sep-2018,31-Jul-2018,485396,67244,51593,50278,10.63%,10.60%,4.33,2.50,0.4085,-12.08%,148.81%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018,Financial Year: 30-Apr-2018
12-Jun-2018,30-Apr-2018,570594,73671,58160,57187,10.19%,12.04%,4.93,5.00,0.4113,41.30%,157.47%,,,,,,,,,,,,,,,,,,,,,,,,,
12-Mar-2018,31-Jan-2018,559397,57236,44296,40472,7.92%,9.08%,3.50,2.30,0.386,82.30%,61.21%,,,,,,,,,,,,,,,,,,,,,,,,,
08-Dec-2017,31-Oct-2017,471707,34604,25504,22201,5.41%,5.19%,1.93,1.60,0.372,9.87%,-27.51%,,,,,,,,,,,,,,,,,,,,,,,,,
11-Sep-2017,31-Jul-2017,391228,31723,23158,20207,5.92%,4.73%,1.75,1.50,0.3698,-9.02%,-50.85%,,,,,,,,,,,,,,,,,,,,,,,,,
