Date,Date,Financial Result,Financial Result,Financial Result,Financial Result,Financial Ratio,Financial Ratio,Per Share Item,Per Share Item,Per Share Item,Performance,Performance,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0,Unnamed: 16_level_0,Unnamed: 17_level_0,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0,Unnamed: 28_level_0,Unnamed: 29_level_0,Unnamed: 30_level_0,Unnamed: 31_level_0,Unnamed: 32_level_0,Unnamed: 33_level_0,Unnamed: 34_level_0,Unnamed: 35_level_0,Unnamed: 36_level_0,Unnamed: 37_level_0
Ann. Date,Quarter,Revenue,PBT,NP,NP to SH,NP Margin,ROE,EPS,DPS,NAPS,QoQ,YoY,Unnamed: 13_level_1,Unnamed: 14_level_1,Unnamed: 15_level_1,Unnamed: 16_level_1,Unnamed: 17_level_1,Unnamed: 18_level_1,Unnamed: 19_level_1,Unnamed: 20_level_1,Unnamed: 21_level_1,Unnamed: 22_level_1,Unnamed: 23_level_1,Unnamed: 24_level_1,Unnamed: 25_level_1,Unnamed: 26_level_1,Unnamed: 27_level_1,Unnamed: 28_level_1,Unnamed: 29_level_1,Unnamed: 30_level_1,Unnamed: 31_level_1,Unnamed: 32_level_1,Unnamed: 33_level_1,Unnamed: 34_level_1,Unnamed: 35_level_1,Unnamed: 36_level_1,Unnamed: 37_level_1
Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023,Financial Year: 31-Dec-2023
Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016,Financial Year: 31-Dec-2016
27-Feb-2017,31-Dec-2016,2937886,-542762,-2098242,-1533664,-71.42%,-32.50%,-131.27,0.00,4.0388,"-1,090.47%",-436.17%,,,,,,,,,,,,,,,,,,,,,,,,,
29-Nov-2016,30-Sep-2016,2807134,11415,-162876,-128828,-5.80%,-2.06%,-11.03,0.00,5.3455,-962.32%,"-1,052.66%",,,,,,,,,,,,,,,,,,,,,,,,,
29-Aug-2016,30-Jun-2016,2716796,108805,-3726,-12127,-0.14%,-0.19%,-1.04,0.00,5.4557,-173.14%,-117.72%,,,,,,,,,,,,,,,,,,,,,,,,,
24-May-2016,31-Mar-2016,2199164,21072,-4933,16580,-0.22%,0.26%,1.42,0.00,5.4309,105.80%,-89.96%,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015,Financial Year: 31-Dec-2015
25-Feb-2016,31-Dec-2015,4160904,-334250,-391571,-286040,-9.41%,-4.47%,-24.48,10.00,5.4754,"-2,215.21%",-469.23%,,,,,,,,,,,,,,,,,,,,,,,,,
26-Nov-2015,30-Sep-2015,3533179,72239,27912,13523,0.79%,0.20%,1.16,0.00,5.8332,-80.24%,-93.14%,,,,,,,,,,,,,,,,,,,,,,,,,
26-Aug-2015,30-Jun-2015,3485294,207624,133357,68438,3.83%,1.02%,5.86,10.00,5.7494,-58.56%,-51.79%,,,,,,,,,,,,,,,,,,,,,,,,,
26-May-2015,31-Mar-2015,3240373,320017,236011,165154,7.28%,2.50%,14.14,0.00,5.6516,113.19%,-29.88%,,,,,,,,,,,,,,,,,,,,,,,,,
