Price,Close,High,Low,Open,Volume
Ticker,4197.KL,4197.KL,4197.KL,4197.KL,4197.KL
Date,,,,,
2023-10-10,2.123666524887085,2.142543542661315,2.104789507112855,2.123666524887085,7834300
2023-10-11,2.1614205837249756,2.1614205837249756,2.1142280387808983,2.1331050567585295,14869400
2023-10-12,2.151981830596924,2.1897358622690453,2.151981830596924,2.161420338514954,11944600
2023-10-13,2.1331048011779785,2.161420324751766,2.1142277854621203,2.1519818168938367,3755300
2023-10-16,2.123666524887085,2.15198205154843,2.09535099822574,2.1331050337742,5965500
2023-10-17,2.123666524887085,2.142543542661315,2.11422801599997,2.123666524887085,4877400
2023-10-18,2.1425435543060303,2.1519820632444433,2.1236665364292038,2.1236665364292038,7969700
2023-10-19,2.1425435543060303,2.1614205721828568,2.1236665364292038,2.1519820632444433,10785600
2023-10-20,2.1425435543060303,2.1519820632444433,2.1236665364292038,2.1425435543060303,5305500
2023-10-23,2.151981830596924,2.161420338514954,2.133104814760863,2.1425433226788937,5519900
2023-10-24,2.1614205837249756,2.1897361106914217,2.15198207473616,2.15198207473616,8167600
2023-10-25,2.1425435543060303,2.17085908112127,2.133105045367617,2.1614205721828568,3964500
2023-10-26,2.151981830596924,2.1708588464329845,2.1425433226788937,2.151981830596924,3815200
2023-10-27,2.1425435543060303,2.17085908112127,2.1425435543060303,2.1614205721828568,3945200
2023-10-30,2.151981830596924,2.161420338514954,2.133104814760863,2.1425433226788937,2585900
2023-10-31,2.1614205837249756,2.1614205837249756,2.142543565747345,2.15198207473616,4336500
2023-11-01,2.1425435543060303,2.1897360989980963,2.1236665364292038,2.17085908112127,10797000
2023-11-02,2.1614205837249756,2.1802976017026063,2.142543565747345,2.15198207473616,7718700
2023-11-03,2.2086129188537598,2.2180514269459293,2.170858886485081,2.170858886485081,10009000
2023-11-06,2.2463672161102295,2.265244232629493,2.1991744497802834,2.218051466299547,12856500
2023-11-07,2.199174404144287,2.2558056775586857,2.1708588799529793,2.246367169494916,11360600
2023-11-08,2.236928701400757,2.265244453978319,2.1897361554911687,2.1991746646730865,19215000
2023-11-09,2.2463672161102295,2.2463672161102295,2.218051466299547,2.2369284828188105,11877900
2023-11-10,2.2086129188537598,2.2369284431302687,2.1991744107615903,2.2369284431302687,10623000
2023-11-14,2.236928701400757,2.265244453978319,2.208613173855004,2.255805944796401,12444500
2023-11-15,2.265244245529175,2.293559770469316,2.2369284955572453,2.2369284955572453,22983200
2023-11-16,2.265244245529175,2.2841212621559355,2.2558057372157947,2.2746827538425554,15518900
2023-11-17,2.3029983043670654,2.3029983043670654,2.2652442706941285,2.2652442706941285,18425300
2023-11-20,2.2463672161102295,2.30299826566802,2.2369284828188105,2.30299826566802,11357800
2023-11-21,2.2463672161102295,2.293559757408388,2.2369284828188105,2.2558057243698615,18736500
2023-11-22,2.255805730819702,2.2652442391063206,2.236928489214677,2.2652442391063206,6844300
2023-11-23,2.236928701400757,2.265244453978319,2.227490192218839,2.255805944796401,5685800
2023-11-24,2.236928701400757,2.255805944796401,2.227490192218839,2.255805944796401,7637700
2023-11-27,2.2463672161102295,2.2841212491487566,2.2369284828188105,2.2369284828188105,9547900
2023-11-28,2.265244245529175,2.293559770469316,2.2558057372157947,2.2746827538425554,14621100
2023-11-29,2.265244245529175,2.2746827538425554,2.246367228902414,2.2746827538425554,11508200
2023-11-30,2.3313140869140625,2.3313140869140625,2.236928767283222,2.274683030154648,25548500
2023-12-01,2.2746827602386475,2.2841212685785677,2.246367235218887,2.2841212685785677,15140100
2023-12-04,2.2463672161102295,2.2746827408891246,2.2274899745591785,2.2746827408891246,9966700
2023-12-05,2.255805730819702,2.2652442391063206,2.2274899809280586,2.2463672225330837,8234400
2023-12-06,2.2180516719818115,2.265244442687993,2.208613162846937,2.2558059335531184,8607000
2023-12-07,2.2463672161102295,2.265244232629493,2.2274899745591785,2.2274899745591785,9467000
2023-12-08,2.227489948272705,2.2558056977492353,2.218051440124457,2.2558056977492353,5642300
2023-12-11,2.2086129188537598,2.2369284431302687,2.1991744107615903,2.2274899350380992,10511100
2023-12-12,2.236928701400757,2.236928701400757,2.208613173855004,2.208613173855004,10984300
2023-12-13,2.265244245529175,2.2746827538425554,2.2274899872438647,2.2369284955572453,14239900
2023-12-14,2.255805730819702,2.284121255679558,2.236928489214677,2.2652442391063206,14810100
2023-12-15,2.312436819076538,2.312436819076538,2.2558057684130617,2.2558057684130617,33528800
2023-12-18,2.2935597896575928,2.3124368064422813,2.2935597896575928,2.3124368064422813,6318700
2023-12-19,2.2935597896575928,2.3029982980499373,2.2746827728729038,2.2935597896575928,6290100
2023-12-20,2.312436819076538,2.312436819076538,2.2841212937448,2.302998310632625,6204500
2023-12-21,2.265244245529175,2.293559770469316,2.2558057372157947,2.293559770469316,5844500
2023-12-22,2.2463672161102295,2.2746827408891246,2.2274899745591785,2.2558057243698615,7936700
2023-12-26,2.227489948272705,2.2558056977492353,2.227489948272705,2.246367189600987,7119900
2023-12-27,2.236928701400757,2.255805944796401,2.227490192218839,2.236928701400757,6251300
2023-12-28,2.236928701400757,2.246367435614484,2.227490192218839,2.246367435614484,3216300
2023-12-29,2.2180516719818115,2.2558059335531184,2.208613162846937,2.236928690251561,9697200
2024-01-02,2.2463672161102295,2.2463672161102295,2.208612958039915,2.208612958039915,5454900
2024-01-03,2.2086129188537598,2.2369284431302687,2.2086129188537598,2.2369284431302687,7522500
2024-01-04,2.2180516719818115,2.227490181116686,2.1991746537120624,2.208613162846937,12520300
2024-01-05,2.2086129188537598,2.2274899350380992,2.1991744107615903,2.2180514269459293,7476400
2024-01-08,2.255805730819702,2.274682747392939,2.2086129643548214,2.2086129643548214,24265000
2024-01-09,2.284121513366699,2.2935600227181396,2.246367475960938,2.255805985312378,17349900
2024-01-10,2.2935597896575928,2.3124368064422813,2.255805756088215,2.2935597896575928,17768800
2024-01-11,2.2935597896575928,2.340752331619315,2.2841212812652483,2.3029982980499373,13232100
2024-01-12,2.3029983043670654,2.3124368127852994,2.293559795948831,2.3029983043670654,5270900
2024-01-15,2.312436819076538,2.378506378183927,2.302998310632625,2.302998310632625,29562300
2024-01-16,2.2935597896575928,2.350190840011659,2.2935597896575928,2.3124368064422813,19235200
2024-01-17,2.3501908779144287,2.359629386458993,2.2746828095579152,2.3029983351916075,20100700
2024-01-18,2.312436819076538,2.378506378183927,2.312436819076538,2.3407523444082763,21642200
2024-01-19,2.340752363204956,2.3596293802443675,2.312436837645839,2.3218753461655446,19530400
2024-01-22,2.340752363204956,2.3596293802443675,2.3218753461655446,2.340752363204956,8891800
2024-01-23,2.369067907333374,2.397383433114435,2.3407523815523135,2.3407523815523135,20174300
2024-01-24,2.3596293926239014,2.378506409762349,2.340752375485454,2.3690679011931253,9002500
2024-01-26,2.3596293926239014,2.3973834269007965,2.3501908840546775,2.3596293926239014,17114000
2024-01-29,2.3501908779144287,2.3785064035481214,2.3407523693698646,2.3690678950035573,9513400
2024-01-30,2.3029983043670654,2.359629354876471,2.3029983043670654,2.3501908464582364,6305400
2024-01-31,2.2935597896575928,2.3124368064422813,2.2746827728729038,2.3029982980499373,19548300
2024-02-02,2.312436819076538,2.3313138359643633,2.2841212937448,2.302998310632625,20391200
2024-02-05,2.3313140869140625,2.3501911058338676,2.312437067994258,2.312437067994258,4798100
2024-02-06,2.3313140869140625,2.340752596373965,2.312437067994258,2.3313140869140625,14253300
2024-02-07,2.2935597896575928,2.3596293484040034,2.2935597896575928,2.340752331619315,11663200
2024-02-08,2.3218753337860107,2.3407523507247756,2.2841212999084806,2.2841212999084806,20281200
2024-02-09,2.312436819076538,2.3313138359643633,2.302998310632625,2.3313138359643633,6684100
2024-02-13,2.3218753337860107,2.3407523507247756,2.302998316847246,2.3124368253166283,10323300
2024-02-14,2.3313140869140625,2.3313140869140625,2.312437067994258,2.32187557745416,7635500
2024-02-15,2.3313140869140625,2.3501911058338676,2.32187557745416,2.3313140869140625,6308600
2024-02-16,2.3218753337860107,2.3407523507247756,2.3124368253166283,2.331313842255393,10026000
2024-02-19,2.369067907333374,2.387944924520748,2.3407523815523135,2.3407523815523135,8327200
2024-02-20,2.482330083847046,2.5012070998812472,2.3785062706271582,2.3785062706271582,41166400
2024-02-21,2.482330083847046,2.5389611319496495,2.444575826746862,2.4728913507981636,23408900
2024-02-22,2.4634530544281006,2.4917688059439254,2.4445760367720846,2.4823302971159174,15285900
2024-02-23,2.5012073516845703,2.520084369619172,2.425699054914359,2.4728915997508634,22558000
2024-02-26,2.472891330718994,2.5483996192744747,2.454014314838069,2.5012070795721617,22637600
2024-02-27,2.5012073516845703,2.529522878586473,2.4728915997508634,2.4728915997508634,13120500
2024-02-28,2.5012073516845703,2.529522878586473,2.5012073516845703,2.5012073516845703,13842300
2024-02-29,2.5578384399414062,2.5578384399414062,2.501207385374804,2.501207385374804,39454700
2024-03-01,2.529522657394409,2.5672766899622417,2.520084149252451,2.5578381818202836,10959800
2024-03-04,2.482330083847046,2.5389611319496495,2.4728913507981636,2.529522623932549,12950400
2024-03-05,2.472891330718994,2.5012070795721617,2.4351372989571436,2.491768571631699,10833200
2024-03-06,2.5012073516845703,2.5106458606518713,2.463453090783563,2.463453090783563,6021800
2024-03-07,2.510753870010376,2.5393936194360442,2.4916604761181014,2.510753870010376,8953100
2024-03-08,2.539393663406372,2.5489402467135633,2.5107539134847983,2.5203004967919895,8728100
2024-03-11,2.539393663406372,2.568033413327946,2.529847080099181,2.5489402467135633,6870400
2024-03-12,2.539393663406372,2.5584868300207546,2.5203004967919895,2.539393663406372,9774400
2024-03-13,2.539393663406372,2.5489402467135633,2.529847080099181,2.539393663406372,12553500
2024-03-14,2.577579975128174,2.5871265583557097,2.5393936422180303,2.5393936422180303,21066500
2024-03-15,2.5584869384765625,2.568033522188439,2.5203006036290554,2.568033522188439,30040300
2024-03-18,2.5298471450805664,2.5584868957377775,2.5203005615281624,2.5584868957377775,10752900
2024-03-19,2.5203003883361816,2.53939355412893,2.5107538054398075,2.5298469712325558,10938100
2024-03-20,2.4916603565216064,2.548940080232086,2.482113773837941,2.529846914864754,14163100
2024-03-21,2.501207113265991,2.52030050757053,2.482113946569953,2.501207113265991,17238300
2024-03-22,2.4916603565216064,2.5107537494974226,2.472567191154275,2.501206939205272,10940600
2024-03-25,2.4916603565216064,2.4916603565216064,2.463020608470609,2.482113773837941,9649900
